Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,"Gajraj Auditorium, Tezpur GPO, Tezpur, Assam",,,,"Mission Chariali, Near Hotel Gajraj, Tezpur GPO Tezpur,Assam","Gajraj Auditorium, Tezpur GPO, Tezpur, Assam"
1,"Jonaki Cinema Hall, Jonaki Road, Tezpur, Assam",03712-220082,,,"Jonaki Building, Jonaki Road, Tezpur- 784001,Assam","Jonaki Cinema Hall, Jonaki Road, Tezpur, Assam"
2,"Pragjyoti Cinema Hall,Maligaon Guwahati,",,,,,"Maligaon, Guwahati-781011
Ph: 0361-2130942, +919864960033"
3,"Fun Cinema Guwahati, Online Ticket Booking,Movie Time Table",,,,,"HUB G.S Road, Guwahati
Ph: +918876565001, +918876565002"
4,"CINEMAX Multiplex, Guwahati,Online ticket Booking,Movie Time Table",,,,,"Dona Planet, GS. Rd, Guwahati-781005
Contact: 0361-2452383"
5,Vandana Cinema (Noonmati),,,,"<p>
<span data-scayt_word=""Noonmati"" data-scaytid=""1"">Noonmati</span>, Guwahati, <span data-scayt_word=""Kamrup"" data-scaytid=""2"">Kamrup</span>, Assam. Pin:-781020</p>",
6,Urvashi Cinema (Guwahati),,,,,"Fancy Bazar , SS Road , Guwahati , Assam - 781001"
7,Gold Digitec Cinema (Paltanbazar),,,,,"ASTC Building, AT Road, Paltanbazar, Guwahati-781008"
8,Gold Digitec Cinema (Lakhtokia),,,,,"Gold Digitec (Lakhtokia)Salasar Building, Lakhtokia, Opp: Fakaruddin Building, Guwahati -781001"
9,Gold Digital Cinema (Narengi),,,,,"Gold Digital Cinema (Narengi)L. G. TOWER, NARENGI TINIALI, GUWAHATI, ASSAM, PIN - 781026"
10,Apsara Cinema| Guwahati Cinema Hall|Movie Tickets|Booking,,,,,"Paltan Bazar , G.S. Road , Guwahati , Kumrup, Assam"
11,Anuradha Cinema |Guwahati Cinema Hall|Movie Tickets|Now Palying,,,,,"Banunimaidam, M.R.D Road, Gwahati, Dist: Kamrup, State: Assam. Pin: 781021"
