Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,"Aquarium Fish, Bird & Pet shop in Guwahati -Aquarium Palace",9859294963,,,"Hatigaon Main Road, Near Bharat Petrolium, Sewali Path, Guwahati-38,Assam","Aquarium Fish, Decorative Bird Cage & Pet shop in Guwahati -Aquarium PalaceContact us for All Kinds of Decorative Bird Cage , Aquarium Products and Pure Pups etc.Specially Contact for Aquarium Sale & Service and Tops [Silver & Wooden],NB: Distributor & Wholesaler of above mentioned Items, Retailer Can contact Us."
1,"Coffee Tea Vending Machine Dealer Supplier Guwahati,Pioneer Solutions Assam",9435013553,mediapalacek@gmail.com,,"House No #14, Dinesh Ojha Path
Rajgarh Road, Bhangagarh, Guwahati -5,Assam
[Distributor Enquiries Solicited]","PIONEER VENDING SOLUTIONSKaziranga Premixes  Hot & Cold Tea Coffee Vending Machine Supplier Distributor ,AssamWe are engaged in the marketing of Kaziranga Hot Premixes like Tea, Coffee, Lemon Tea , Diet Coffee , Dairy Whitener , Tomato Soup and Kaziranga Cold Premixes like Ice Tea ,Cold Coffee, Nimboo Pani , Aam Panna, Orange Juice etc. for entire North East since 2004.Kaziranga Permixes are manufacturer under hygienic conditions and in accordance to International Quality Standard the most modern technologies to tackled work force.SALES SERVICE & RENTWe provide robust vending machines like 2 options , 3 options , 4 options ,6 options and Hot & Cold Machines are backup with prompt after sales services and excellent technical assistance to ensure total customer satisfaction, we also provide vending machines on rent for all types of occasions.We always aspire to take our Kaziranga Brand to new  heights.NB : Vending Machine Price range form Rs 15,000/- to 45,000/- ,for more information regarding vending machine business please feel free to contact us .To get Priority over phone ,Mention Assam Yellow Page as a reference."
2,"HP Flex, A Complete Advertising Solution",9864350442,hpflexghy@gmail.com,,"Godrej Building, Ulubari, Besides Ulubari Flyover, Guwahati-781007 (Assam)","HP Flex, A Complete Advertising Solution. Sign board, glow sign, vinyl printing in Guwahati, flex printing in Guwahati, Neon printing Guwahati, Best offset printing in GuwahatiSOLVENT PRINTER: KONICA 1024 Solvent Printing Machine.
ECO-SOLVENT PRINTER: EPSON SURE COLOR S-40670 Green Eco-Solvent Machine with an output of 200 Sq. Feet per hour.
OUR PRODUCTS:
FLEX PRINTING
VINYL PRINTING
HOARDINGS
NEON SIGN BOARD
LEAFLETS
STICKERS
LABELS
CORPORATE MULTICOLOR PRINTING"
3,"Foodie Rider, The Complete Food Solution, Food Delivery Guwahati",8638760859,,,"Rajdhani Nursery, Ganeshguri, Guwahati-5","Foodie Rider, The Complete Food Solution, Food Delivery GuwahatiIndian Chinese Continental,Roll, Momo, ChowDragon Chicken, Fried Rice etc"
4,Soya Paneer Tofu,9433326808,ishansoyapts@gmail.com,,,"We are manufacturing 100% natural’s soya paneer, soya curd, soya flavor milk. Require serious buyer and dealer for local selling purpose. Contact. Ishan Soya Products, 9433326808"
5,"এৰ'মিকা, গৰম চাহৰ হোম ডেলিভাৰী, Hot Tea Home Delivery Assam",6003856377,rdtenderbuds@gmail.com,,"House no 94, East jyoti Nagar, Bamunimaidan, Guwahati, Assam-781021","এৰ'মিকাই পোন প্ৰথমবাৰৰ বাবে অসমত আৰম্ভ কৰিছে গৰম চাহৰ হোম ডেলিভাৰীৰ ব্যৱস্থা ৷ দিল্লী, মুম্বাইৰ দৰে গুৱাহাটীত ঘৰত থাকি বা কাৰ্যালয়তে থাকি আপুনি ভিন্ন ৰকমৰ ল'ব পাৰিব চাহৰ সোৱাদ. ২৫০ MLৰ চাহ থাকিব প্ৰতিটো বাকচত ৷ গুজৰাটৰ পৰা অনা এলুমনিয়াম ফইলৰে তৈয়াৰী চাহ গৰম কৰি ৰাখিব পৰা এটা পেকেট থাকিব এই বক্সটোৰ ভিতৰত"
6,Best Cake shop in Tezpur Assam,8587989441,,,Bus Stand Tezpur,Father's Day Celebration Cake home delivery in Tezpur. Send surprise cake to your daddy in Assam. Best quality & express delivery service. Visit our site & avail discount https://www.basilflorist.com/cake-delivery-tezpur
7,paver block machine,8011911148,mech.global2017@gmail.com,,"1 No. senswa Gaon, J.M.C road, Opposite of J.M.C.H boy's Hostel 1, P.O: Borbhata, Pin code: 785004 Jorhat, Assam","paver block machine manufacturer from jorhat assam.
we manufacture semi automatic paver block making machine , fully automatic paver block making machine , pan mixer for paver block production, single mold fully automatic paver block machine , four mold fully automatic paver block machine , six mold fully automatic paver block machine, eight mold fully automatic paver block making machine, cellular level concrete (CLC) block making machine, spiral mixer.Feel free to contact us for more details."
8,Odex and DTH Drilling for Deep Bore Well,7896010069,watermanagement@consultant.com,,"G.S Road, Khanapara, Guwahati - 781022, Assam , India","Our Rigs are equipped with world class compressors and masts. We are based out of Guwahati in Assam and cater to vivid regions across North Eastern states of Assam, Meghalaya, Nagaland, Arunachal Pradesh, Mizoram, Tripura, Manipur and Sikkim. We also operate in Bhutan, Myanmar and Bangladesh. Advantage with our PRD mast, even in any critical formation conditions also our rig can drill up to the maximum depth. Other technical advantage with our HYDRALIC SUPER RIG is our machinery is also equipped with Dust Controlling Equipment and Automatically water injection system.Our professional and experienced personnel qualify us to design and drill everything from test holes and small diameter monitoring wells to high capacity production and injection wells. Supported by our experience, we carefully listen
to your problem and tailor a solution from our comprehensive suite of options to meet your particular needs.ODEX DRILLING.DTH DRILLING. ROTARY BORE-WELL. RAINWATER HARVESTING"
9,We provide Commercial and Residentials Propeties all over Northeast,0361 2343888,sidvinrealtynetwork@gmail.com,,"Level II, Shankar Complex, Christian Basti, G.S. Road
Gauhati","We Provide Retail Spaces, Showroom Spaces, Offices, Warehouses, Commercial Spaces and Residential Properties all over Northeast for Rent. Sale and Lease."
