Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,"Forever Living Products Supplier in North East, Contact Number",9435746814,info@assamyellowpage.com,,,"Forever Living Products Supplier in North East, Contact Number. Premium quality Aloe Vera Gel, natural beauty products, powerful nutrition products, beauty products, skin care products and weight management products are available."
1,"M/S R R Traders, Total Imaging Solutions, Printing and Office Stationery, Ganeshguri, Guwahati",9954117890,rrtraders22@gmail.com,,"Ganeshguri Chariali
Opp Dispur Dhaba
Janaki Path, H. No-12
Guwahati-781006
Dispur(Assam)","M/S R R Traders, Total Imaging Solutions
Deals inDigital Paper, Sticker Sheet, Texture Paper, Metailic Paper, Ivory Paper, Inkjet Photo Paper, Photo Glossy Roll, Plotter Paper Roll, Tracing Paper, Ammonia Paper Roll, Ammonia Solution, Stationery File, Calculator etcR R Traders, Digital Paper Distributor in Guwahati, Digital Paper Wholeseller in Assam & northeast, Photo Paper Supplier in North East, Architecture paper Distributor in Assam & North East, Floater Paper Retailer in Assam & North East, Ammonia Paper Supplier in Assam & North East, Digital Printing Solution Assam, Screen Textile Printing Solution Assam, Total Imaging Solutions Assam"
2,"Soyadeli in Guwahati, Premium Soy Protein, Tofu, Soya Paneer",9957541158,info@assamyellowpage.com,http://soyadeli.com,Guwahati,"Tofu and soymilk made from soya bean, is a rich source of vegetable protein contains low fat and low calorie. Soyfood contains no cholesterol and is also a excellent source of iron and calcium and fibre. Soyfood contains Omega-3 & has all 9 essential amino acids.Cow milk contains lactose. Due to lactose intolerance more than 50% of Indian population is not able to digest diary milk properly & this problem increase with increasing age. Soymilk is lactose free is a perfect alternative to cow milk with more goodness and less fat than cow milk.
STUDIES HAVE SHOWN THAT SOYFOOD(tofu & soymilk) IS BENEFICIAL IN THE PREVENTION OF :
Heart Disease : Soyfood has zero cholesterol and very low fat. Soy isoflavones helps in reduction of bad cholesterol(LDL). The US Food & Drug Administration recommends ""25 gms of soy protein a day as part of a diet low in saturated fat & cholesterol may reduce the risk of heart disease"". 100 gms of tofu & 200 ml of soymilk provide approximately 15 & 8 gms of soy protein respectively.
Diabetes : Soyfoods have low glycemic index i.e. they have very little carbohydrates. This improves blood sugar control.
Cancer: Soyfood has isoflavones & anticarcinogens that helps to prevent various cancers, specially breast, colon & prostate cancers.
Osteoporosis : Animal protein increases the amount of calcium excreted through the urine. Soy protein causes calcium to be better utilized by the body, thus decreasing the risk of Osteoporosis.Soyfood is nutritious because 200 ml of soymilk provides
Protein-1 Egg
Calcium- 1/2 glass of Milk
Vitamin- 1 Banana
Fibre- 1/2 glass of DalInstruction before use :
1. Unpack and wash the Tofu
2. Cut and soak in salted water for sometime
(Refrigerate unused Tofu soaked in water. Change the water daily)"
3,"Amora Foods, International House of Sausages, Home Delivery Contact No",8486083081,,,,"Amora Foods, International House of Sausages, Home Delivery Contact NoHome Delivery. Fresh Chicken Sausages, Chicken chipotle Sausages, chicken cheese Sausages, chicken breakfast Sausages etc."
4,থলগিৰি:অসমীয়া হোৱাৰ গৌৰৱ,৯১০১৯৩৯৭৪৪,manorom@yahoo.co.in,,"'থলগিৰি:অসমীয়া হোৱাৰ গৌৰৱ', লেম্ব ৰোড, লতাশিল, গুৱাহাটী ৭৮১০০১","জ্যেষ্ঠ সাংবাদিক মনোৰম গগৈৰ নেতৃত্বত আৰম্ভ হৈছে এক আন্দোলন ! জীৱনক সজীৱ কৰাৰ আন্দোলন, নিৱনুৱাক বনুৱা হিচাপে গঢ়াৰ আন্দোলন।"
5,"Rhino Packers | Packers and Movers in Sixmile, Guwahati",9864469464,,,"Sixmile, Guwahati",Rhino PackersLocal Shifting & All over IndiaPacking & Transportation household goods.
6,"Hari Metal House | Maligaon, Guwahati",9707031043,,,"P N G B Road, Maligaon, Guwahati - 781011, Opposite Kamal Complex, Chariali","Hari Metal HouseUtensil Dealers , Kitchen Appliance Dealers"
7,"Tirpal house | Whole saler in Fancy Bazar, Guwahati",03612545168,,,"Jail Road, Fancy Bazaar, Guwahati, Assam 781001","Tirpal House has gained immense expertise in supplying & trading of Tirpal, Floor mat etc. The supplier company is located in Guwahati, Assam and is one of the leading sellers of listed products. Buy Tirpal in bulk from us for the best quality products and service."
8,Washh - Laundry & Dry-Cleaning Service in Guwahati,757590144,social-team@washh.in,,"Bordoichila Bhawan, 4th Floor, B-Block, Bhangagarh, Guwahati - 781005","Washh, as its namesake, is your personal laundry service provider in guwahati along with fold and press, with the added facility of free pickup and delivery within 24 hours. Lazy bachelors or busy housewives, students or working people, Washh will be a boon to every one of you for sure. We at wash provide both household and commercial laundry services in guwahati. So stop wasting your time doing dirty laundry because there are better things to do that makes you happy. Download Washh android app, the best online laundry in Guwahati and experience the new-age, smart way of spotless cleaning of clothes. Along with washing and ironing services, we also offer free laundry pickup and delivery services in guwahati. Your quest for the best laundry in Guwahati stops at Washh!Our Services:Wash and Fold
Wash and Iron
Ironing
Free pickup and delivery
Fabric softener
Starch
Fabric freshener
Antiseptic Wash
Stain Remover"
9,"Senco Gold and Diamonds, Guwahati Center",03612451247,,,"Shivam Commercial Complex, G. S. Road, Bhangagarh","Senco Gold and Diamonds, Guwahati Center. Jewellery store in Guwahati. Gold and Diamond store in Guwahati."
