Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,"CAKE Delight, Cake Delivery Service Jorhat, Jorhat Yellow Page",8402016266,,,"Above Vishal Mega Mart, Gar-Ali, Jorhat-785001","CAKE Delight, Cake Delivery Service Jorhat, Jorhat Yellow Page. CAKE Delight is providing any type of cake  with affordable price."
1,"Cheap Cake in Duliajan, Cake shop in Duliajan",9365706090,cyprusbaruah@gmail.com,,"Cake Being,
OIL S.A.P 1913/ gate2
Duliajan","Cakebeing is a cake shop for people who look for cheap & best cakes in duliajan town. Our cakes are fresh preapered on order. We deliver in 2 hours in OIL town in duliajan. We use fresh cream, chocolates, vanilla, dryfruits in our cakes. Our customers likes the taste & they refer our services to friends & family. Our motto is to give good customer experience."
2,"Cake delivery in Jorhat, Cake shop in Jorhat",85879 89441,basilflorist@gmail.com,,"182, swagat puri path near janombhumi press, near polytechnic school, Jorhat, Assam 785001",Basil florist Jorhat brings cakes & flowers at your doorsteps at a best price. You can send cakes online to Jorhat same day. We at basil florist prepare cakes on order that is way each cake we prepare is customized & we use fresh ingredients. This is the only reason why customers like our cake very much. To get discounts visit our site.
3,"Patisserie Operaa Bakery & Confectionery,Guwahati Assam| Specialist in Cakes",,,,"Ulubari ,GS Road
Guwahati-7,Assam","Patisserie Operaa Bakery & Confectionery,Guwahati Assam| Specialist in Cakes"
4,"Maa Santoshima Sweet & Tea Stall, Guwahati Assam",,,,"Maligaon Chari Ali, Maligaon,Guwahati,Assam","Maa Santoshima Sweet & Tea Stall, Guwahati Assam"
5,"Sharma Sweet & Snack Shop,Guwahati Assam",,,,"Fancy Bazar,Jail Road, Guwahati -1 ,Assam","Sharma Sweet & Snack Shop,Guwahati Assam"
6,"Misti Mukh -One of the Best Sweet shop, Guwahati,Assam",,,,"Ulubari,Chari Ali,Near Flyover, GS Road,Guwahati,","Misti Mukh -One of the Best Sweet shop, Guwahati,Assam. List of Sweet Shop Assam"
7,"Jagdamba Sweets & Snack Shop, Guwahati Assam",,,,"Near Assam Tribune Building,
M.R.D.road, Chandmari, Guwahati - 781003","Jagdamba Sweets & Snack Shop, Guwahati Assam"
8,"Shree Sweet Namkeen Chaats Snacks Bakery & Confectionery Shop,Guwahati Assam",,,,"Radhaey Radhey Enclave, Pandu Port Road, Ananda Nagar,Adabari,Guwaahti -12","Shree Sweet Namkeen Chaats Snacks Bakery & Confectionery Shop,Guwahati Assam"
9,Bakery and Confectionery Snacks Shop Guwahati |LOYANS,,,,"House No 52,FC Road, Uzanbazar,Guwahati,Assam",Bakery and Confectionery  Snacks Shop Guwahati |LOYANS Bakery
10,"Annapurna Food & Beverages, Guwahati Assam |Ghee Jam Jelly Drinks Manufacturer",,,,"Kamakhya Colony, Bara Bazar, Pandu, Ghuwahati -781012, Assam","Annapurna Food & Beverages, Guwahati Assam |Ghee Jam Jelly Drinks Manufacturer"
11,"Packaged Traditional Assamese food manufacturers in Guwahati,Assam|BHOGALI JALPAN",,,,"Japorigog, Guwahati, Assam - 781 005","Packaged Traditional Assamese food manufacturers in Guwahati,Assam|BHOGALI JALPAN"
12,K.V Foods - Bakery & Confectionery Shop Guwahati,,,,"Solapara Road,Giridhar Market, Opp. Fame City Hotel,Paltanbazar, Guwahati,Assam",K.V Foods - Bakery & Confectionery Shop Guwahati
13,Padma-Best Sweet Shop in Guwahati- Namkeen Chaats Snacks Bakery,,humtydumty.in@gmail.com,,"AT Road,Maligaon, Guwahati-11.Assam",Padma-Best Sweet Shop in Guwahati- Namkeen Chaats Snacks Bakery
14,"Delice -Bakery & Confectionery Food Item Shop, Guwahati Assam",,linkdelice@gmail.com,,"Near Kali Mandir, Hengrabari,Opp Union Bank ATM, Guwahati-36","Delice -Bakery & Confectionery Food Item Shop, Guwahati Assam"
15,MPS Food Products,,,,"Fortune Tower, Bhangagarh,
G.S.Road. Guwahati - 05",Guwahati Gets Organic. The finest tastes of the countryside have arrived in the heart of the city.
