Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,"A K Battery, Authorised Sales and Service Centre, Tinsukia",,vinaybhajanka@rediffmail.com,,"Central Bank Road, Mayur Mansion, Tinsukia - 786125, Assam","A K Battery, Authorised Sales and Service Centre, Tinsukia"
1,"Borda Power Consultants, Supplier of Solar System",03612603032,,http://www.bordapower.com/,"Borda Power Consultants
19A Media Complex,
Railway Gate N0-2, Ram Mandir Lane, Lakhtokia
Guwahati-781001, Assam","Borda Power Consultants, Supplier of Solar System. Solar Energy, Solar System Dealer in Assam, Solar Power, Solar Water Heater, Solar Power System Retailer in Assam, Assam Business Directory, Guwahati Yellow Page, Assam Yellow Page"
2,"Eco Solutions and Innovations, Shillong",,,,"Muda Shopping Complex, Ground Floor, Police Bazaar, Shillong-793001, Meghalaya","Eco Solutions and Innovations, Shillong"
3,"North East Renewable Energy Sources Pvt Ltd, Guwahati",03612550292,,,"Anuradha Complex, Bamunimaidan, Ghy-21","North East Renewable Energy Sources Pvt Ltd, Guwahati"
4,"Nagaon Solar House, A house of Solar Equipment",,,,"M.D.Road, Near Civil Hospital Rail Gate, Nagaon-782001","Nagaon Solar House, A house of Solar Equipment"
5,"North East Agency Pvt Ltd, Solar Product Supplier",03612469957,,,"G.S.Road, Ulubari Chariali, Guwahati-7, Assam","North East Agency Pvt Ltd, Solar Product Supplier"
6,"Amar Battery Co, supplier of Solar Product, Exide Battery",03612510794,,,"A.T.Road, Tokobari, Guwahati-781001","Amar Battery Co, supplier of Solar Product, Exide Battery"
7,"Electro Plus, Solar and LED Products Manufacturing Units in North East",03612670762,,,"House No. 374, 1st Floor,
Near Aruna Cinema Hall, Bara Bazar,
Pandu, Guwahati – 781012","Electro Plus, Solar and LED Products Manufacturing Units in North East"
8,"AHP Akshay Urja Shop, Solar Shop in Tinsukia, Assam",,,,"P.N. Bank Building, Sadar Market, In Front of ASTC Bus Stand, Tinsukia-786125","AHP Akshay Urja Shop, Solar Shop in Tinsukia, Assam"
9,"M/S Goodwill Traders, Inverter and Solar Products, Makum Road, Tinsukia",,,,"Makum Road, Tinsukia-786146","M/S Goodwill Traders, Inverter and Solar Products, Makum Road, Tinsukia"
10,"Ajay Batteries, Solar Panel and Electronics Goods Supplier in Tinsukia",03742330211,,,"A.T.Road, Old UBI Building, Tinsukia","Ajay Batteries, Solar Panel and Electronics Goods Supplier in Tinsukia"
11,"Borda Solar Shop, Solar Sale and Service in Guwahati",,,,"106, Orion Tower, Christan Basti, G.S.Road, Guwahati-5","Borda Solar Shop, Solar Sale and Service in Guwahati"
12,"Sayan Electronics, Deals in Solar Product and Electronics, Guwahati",,,,"Kamakhya Umananda Bhavan, A.T. Road, Guwahati - 781001","Sayan Electronics, Deals in Solar Product and Electronics, Guwahati"
13,"Brahmaputra Solar Shop, Authorisez Dealer of Solar Product in Dibrugarh",,,,"Karmakar Complex, Moranhat, Dibrugarh-785670","Brahmaputra Solar Shop, Authorisez Dealer of Solar Product in Dibrugarh"
