Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,Hair Weaving Centre Guwahati -New Royal Hair Treatment Clinic in Assam,9435340970,kanikasarkar759@gmail.com,,"Simon House, Room No 444, Nepali Mandir, Opp Assam Tourism , Paltan Bazar, Guwahati-781008, Assam
2nd Floor, Uttarapam, Opp: Biswadeep Cinema Hall, Beside Kanchanjanga Gas Agency, H. C. Road, Siliguri-3","New Royal Hair Weaving Centre, Guwahati
Hair Baldness Solution ProviderOne and only Hair Baldness Solution Provider in North East India  through non surgical  American Hair Replacement Weaving method for last 16 year.First Time in AssamNB: This solution is for both Men and Women.Opening Time : 10 AM to 7 PM, Sunday : 10 AM to 2 PMWeaving Cost Range : Rs 9000/- to 20,000/-"
1,"Unisex Spa Beauty Salon and Yoga GLAM DIVA ,Guwahati",9854020550,divaglamdiva@yahoo.in,http://www.glamdivasalon.in,"AG Complex,First Floor,
Opp. Maharishi Vidya Mandir School, GNB Road ,
Silphukhuri,Guwahati-3","Unisex Spa Beauty Salon and Yoga GLAM DIVA ,GuwahatiThis wellness centre was born wanting to give the clients best of Spa,Hair and Skin Sevices and Yoga to Beautify themselves.They did not have to go as where for fitness. The sheer lavishness of space and the unique concept the body spa to completely unwind,relax and loosen the joints and muscles, followed by specific Yoga to improve the body alignments.Salon AmbienceThe Salon is edgy , cool and chic all at once! It is divided into different section, the cut and style area that can serve eight at a time, a small space dedicated to manipedi for clients to indulge in and get the view of outside, makeup zone and the skin area too, also available cosy and calm spa section for body spa with steam bath , Yoga Section and a vibrant reception.Popular ServicesHair Cuts, Hair Coloring , Rebonding, Perming, Hair treatments,Facial and Skin Treatments, Foot and Hands Spa, Body Spa and Body polishing.ProductsLoreal Professional, Lalosa ,Shehnaaz ,Serenite,Lotas professional, Artistry, Krylon [Makeup]Timing10 AM to 7 PMTo get Priority over phone ,Mention Assam Yellow Page as a reference."
2,"Lakme Salon Beltola, Contact No",6001844177,,,"Dhruba Jyoti Complex, House No-69, Basistha Road, Beltola, Guwahati","Lakme Salon Beltola, Contact No. Get styled by Lakmé Fashion Week backstage experts who bring you the latest runway trends in skin, hair and makeup."
3,"STRESS & STYLE |Hair and Beauty Studio Spa Salon Parlour, Guwahati Assam",,,,"2nd Floor HUB, GS Road,Guwaahti-5,Assam","STRESS & STYLE |Hair and Beauty Studio Spa Salon Parlour, Guwahati Assam"
4,"Unisex Salon Beauty Parlour & Spa, Guwahati Assam | STYLE FACTORY",,,,"Opp. Guwahati Radio Centre, U turn ,Chandmari,Guwahati-3, Assam","Unisex Salon Beauty Parlour & Spa, Guwahati Assam | STYLE FACTORY"
5,"AURA Beauty Saloon Unisex Parlour & Spa Guwahati, Assam",,,,"Rajkumar Palace,Besides NE TV Building, Opp. UCO bank,AK Azad Road, Rehabari,Guwaahti-8,Assam","AURA Beauty Saloon Unisex Parlour & Spa Guwahati, Assam"
6,"Monsoons Beauty Salon & Unisex Spa, Guwahati Assam",,,,"House No 32, Near Sukafa Bhawan, Jaya Nagar,Sixmile,Guwahati-22, Assam","Monsoons Beauty Salon & Unisex Spa, Guwahati Assam"
7,Ladies Beauty Parlour Beauty Spa Beauty Salon Guwahati Assam | inVOGUE,,,,"Shop No 01, Nayanpur Road, Ganeshguri Chariali, Guwahati-06,Assam",Ladies Beauty Parlour Beauty Spa Beauty Salon Guwahati Assam | inVOGUE
8,"Ozone -Unisex Body & Hair Spa Beauty Saloon, Guwahati Assam",,ozonespasaloon@yahoo.in,,"Avter Complex,Ground Floor, Near Akhal Restaurant, Dispur,Last Gate,Basistha Road, Naharani path,Guwahati-6","Ozone -Unisex Body & Hair Spa Beauty Saloon, Guwahati Assam"
9,"Curves Beauty SPA & Unisex Salon, Guwahati Assam",,,,"Near KFC ,1st Floor, Nalini Plaza,Lachit Nagar, GS Road,Guwahati-7","Curves Beauty SPA & Unisex Salon, Guwahati Assam"
10,"Prasanjyoti Ladies Beauty Parlour, Jorhat, Assam",,,,"Barkataky Market, 3rd Floor, Near New Medical Building
Jorhat, Assam, Pin-785001","Prasanjyoti Ladies Beauty Parlour, Jorhat, Assam"
11,"Phoenix Beauty Parlour, Jorhat, Assam",,,,"Old Balibat, Kuber Complex
Jorhat, Assam, Pin-785001","Phoenix Beauty Parlour, Jorhat, Assam."
12,"Destiny Beauty Parlour, Teok, Jorhat, Assam",,,,"A.T.Road
Teok, Assam, Pin-785112","Destiny Beauty Parlour, Teok, Jorhat, Assam"
13,"Dristi Beauty Parlour and Training centre, Jorhat, Assam",,,,"MG road, infront of Maktob school
Jorhat, Assam
Pin-785001","Dristi Beauty Parlour and Training centre, Jorhat, Assam"
14,"Style Station Parlour, Ladies & Children Parlour in Guwahati, Guwahati Yellow Page",9613638243,,,"A.R.J. Market, Opp. Assam Engineering Field, M.R.D. Road, Chandmari, Guwahati-21","Style Station Parlour, Ladies & Children Parlour in Guwahati, Guwahati Yellow PageTo get Priority over phone ,Mention Assam Yellow Page as a reference."
15,"Style Spa, Dibrugarh GPO, Dibrugarh, Assam",,,,"Ajit Banerjee Building, Dibrugarh GPO, Dibrugarh- 713213
Near Punjab National Bank","Style Spa, Dibrugarh GPO, Dibrugarh, Assam"
