Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,Parnil Palace Bibah Bhawan Marriage Hall Banquet & Function Hall Booking| Guwahati Assam,,,,"Zoo Narangi Road, Behind KFC Restaurant, Zoo Road Tiniali,Guwahati-24,Assam",Parnil Palace Bibah Bhawan Marriage Hall Banquet & Function Hall Booking| Guwahati Assam
1,Asian Palace Bibah Bhawan Marriage Hall Banquet & Function Hall Booking| Guwahati Assam,,,,"G.S Road,Bora Service, Near Woodland Show Room, Guwahati-7,Assam",Asian Palace Bibah Bhawan Marriage Hall Banquet & Function Hall Booking| Guwahati Assam
2,Sun City Bibah Bhawan Marriage Hall Banquet & Function Hall Booking| Guwahati Assam,,,,,Sun City Bibah Bhawan Marriage Hall Banquet & Function Hall Booking| Guwahati Assam
3,Divine Bibah Bhawan AC Marriage Hall Banquet & Function Hall Booking| Guwahati Assam,,,,"Hatigaon Road, Back Side of MLA Hostal
Ganeshguri,Guwahati-6,Assam","Divine Bibah Bhawan AC Marriage Hall Banquet & Function Hall Booking| Guwahati Assam, Function Hall in Guwahati, AC Marriage HallGuwahati"
4,Kunjalata Bibah Bhawan Marriage Hall Banquet & Function Hall Booking| Guwahati Assam,,,,"Christian Basti,GS Road
Near Mizoram House
Guwahati-5,Assam",Kunjalata Bibah Bhawan Marriage Hall Banquet & Function Hall Booking| Guwahati Assam
5,Kanika Bibah Bhawan Marriage Hall Banquet & Function Hall Booking| Guwahati Assam,,,,"Baruwari Bus Stop, Opp . Durga Mandir, Uzanbazar ,Guwahati -1,Assam",Kanika Bibah Bhawan Marriage Hall Banquet & Function Hall Booking| Guwahati Assam
6,"Uruli Bibah Bhaban, Marriage Hall in Jorhat",,,,"Tarajan, Near ISBT,Jorhat
Jorhat, Assam
Pin-785001","Uruli Bibah Bhaban, Marriage Hall in Jorhat"
7,"Raj Bibah Bhaban, Marriage Hall in Jorhat",,,,"Bashbari, Near Jorhat Town Railway Station
Jorhat, Assam
Pin-785001","Raj Bibah Bhaban, Marriage Hall in Jorhat. Marriage Hall in Jorhat, Yellow Page Jorhat, Jorhat Business Directory, Function Hall in Jorhat, Catering Service in Jorhat, Party & Banquet Halls in Jorhat, Party Hall Jorhat"
8,"Abinash Bibah Bhaban, Marriage Hall in Jorhat",,,,"K K Handique Path
Jorhat, Assam
Pin-785001","Abinash Bibah Bhaban, Marriage Hall in Jorhat"
9,"Bordoloi Bibah Bhaban, Marriage Hall in Jorhat",,,,"jogduar
Jorhat, Assam
Pin-785001","Bordoloi Bibah Bhaban, Marriage Hall in Jorhat"
10,"Apsara Lodge Bibah Bhaban, Lodge in Jorhat",,,,"Na Ali, Bongal Pukhuri
Jorhat, Assam
Pin-785001","Apsara Lodge Bibah Bhaban, Lodge in Jorhat. Marriage Hall in Jorhat, Yellow Page Jorhat, Jorhat Business Directory, Function Hall in Jorhat, Catering Service in Jorhat, Party & Banquet Halls in Jorhat, Party Hall Jorhat"
11,"Rodali Bibah Bhaban, Marriage Hall in Jorhat",,,,"TRP Raod,In front of Sikkim Manipal University,Choladhara
Jorhat, Assam
Pin-785001","Rodali Bibah Bhaban, Marriage Hall in Jorhat. Marriage Hall in Jorhat, Yellow Page Jorhat, Jorhat Business Directory, Function Hall in Jorhat, Catering Service in Jorhat, Party & Banquet Halls in Jorhat, Party Hall Jorhat"
12,"Barua's Inn Bibah Bhaban, Marriage Hall in Jorhat",,,,"A T Road, Tarajan
Jorhat, Assam
Pin-785001","Barua's Inn Bibah Bhaban, Marriage Hall in Jorhat. Marriage Hall in Jorhat, Yellow Page Jorhat, Jorhat Business Directory, Function Hall in Jorhat, Catering Service in Jorhat, Party & Banquet Halls in Jorhat, Party Hall Jorhat"
13,"Kanak Bibah Bhaban, Marriage Hall in Jorhat",,,,"Banalata Path, Jail Road
Jorhat, Assam
Pin-785001","Kanak Bibah Bhaban, Marriage Hall in Jorhat"
14,"Ramdhenu Bibah Bhaban, Marriage Hall in Jorhat",,,,"Maniram Dewan Path
Jorhat, Assam
Pin-785001","Ramdhenu Bibah Bhaban, Marriage Hall in Jorhat"
