Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,Gauri Sadan Guwahati Auditorium Contact No,9435111407,,,"Dighalipukhuri East,Guwahati-1","Gauri Sadan Guwahati Auditorium, Auditorium in Guwahati. Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
1,Rabindra Bhawan Guwahati Auditorium Contact No,03612547731,,,"GNB Road,Ambari,Guwahati-1","Rabindra Bhawan Guwahati Auditorium, Auditorium in Guwahati. Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
2,Vivekananda Kendra Institute of Culture Auditorium Contact No,03612736945,,,"MG Road,Kacharighat,Guwahati-1","Vivekananda Kendra Institute of Culture Auditorium, Auditorium in Guwahati. Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
3,Guwahati Town Club Auditorium Contact No,9864104060,,,"George Field,Panbazar,Guwahati-1","Guwahati Town Club Auditorium, Auditorium in Guwahati. Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
4,Srimanta Sankardev Kalakhetra Auditorium Contact No,03612332665,,,"Panjabari,Guwahati-36","Srimanta Sankardev Kalakhetra Auditorium, Auditorium in Guwahati. Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
5,Bhagawati Prasad Baruah Bhawan Auditorium Contact No,03612515830,,,"DighalipukhuriEast,Guwahati-1","Bhagawati Prasad Baruah Bhawan Auditorium, Auditorium in Guwahati. Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
6,Guwahati Press Club Auditorium Contact No,9435100698,,,"GNB Rd,Ambari,Guwahati-1","Guwahati Press Club Auditorium, Auditorium in Guwahati. Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
7,Kumar Bhaskar Natya Mandir Auditorium Contact No,03612630113,,,"HCRd, Uzanbazar, Guwahati-1","Kumar Bhaskar Natya Mandir, Auditorium in Guwahati. Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
8,Aarohan Auditorium Contact No,03612231022,,,"Beltola Survey,Guwahati-28","Aarohan Cultural Centre, Auditorium in Guwahati. Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
9,"The Institute of Engineers(India), Panbazar, Contact No",03612548742,,,"Near Overbridge,Panbazar,Guwahati-1","The Institute of Engineers(India), Panbazar, Contact No
The Institute of Engineers(India), Auditorium in Guwahati. Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
10,Pragjyoti ITA Cultural Centre Contact No,03612631139,,,"HB Road, Machkhowa, Guwahati-9","Pragjyoti ITA Cultural Centre, Auditorium in Guwahati. Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
11,"Swahid Nyas Bhawan, Auditorium in Guwahati",03612548962,,,"Near Planetorium, Uzanbazar,Guwahati-1","Swahid Nyas Bhawan, Auditorium in Guwahati. Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
12,"Assam Museum Auditorium, Function Hall in Guwahati",03612540651,,,"GNB Road, Dighalipukhuri,Guwahati-1","Assam Museum Auditorium, Function Hall in Guwahati. Guwahati Yellow Page, Yellow Page Guwahati, Guwahati Business Directory, Banquet & Function Hall, Auditorium in Guwahati, Function Hall in Guwahati"
13,"Guwahati Artists Guild, Auditorium in Guwahati",9435109780,,,"Chandmari,Guwahati-3","Guwahati Artists Guild, Auditorium in Guwahati, function hall in Guwahati"
14,"District Library, Guwahati, Contact No",03612545198,,,"GNB Road, Dighalipukhuri,Guwahati-1","District Library, Guwahati, Contact No. Function hall in Guwahati. Auditorium in Guwahati"
