Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,"Trade Mark Bureau of India, Guwahati Office Contact",9435734991,,http://indiatrademark.org,"House No-17, Rahman Villa, Dr S. K Bhuyan Road, Dighalipukhuri East, Guwahati-781001","Trade Mark Bureau of India, Guwahati Office Contact. Trade Mark, Patient & Design, Copyright Attorneys, ISO Certification Provider Guwahati Office Address, Contact Number, Trade Mark India North East Office, Trade Mark India Assam Office"
1,"Tihu Fire Station, Nalbari,Emergency Phone Number Assam",03624-281244,,,"Tihu Fire Station, Nalbari","Tihu Fire Station, Nalbari,Emergency Phone Number Assam"
2,"Pathsala Fire Station, Barpeta,Emergency Phone Number Assam",03666-266456,,,"Pathsala Fire Station, Barpeta","Pathsala Fire Station, Barpeta,Emergency Phone Number Assam"
3,"Nalbari Fire Station, Nalbari,Emergency Phone Number Assam",03624-220222,,,"Nalbari Fire Station, Nalbari","Nalbari Fire Station, Nalbari,Emergency Phone Number Assam"
4,"INTER STATE BUS TERMINUS, ISBT, BETKUCHI, Telephone Number, Guwahati, Assam",0361-601083,,,"National Highway 37,Betkuchi,
Near Balaji Temple
Guwahati,Assam","INTER STATE BUS TERMINUS, ISBT, BETKUCHI, Telephone Number, Guwahati, Assam"
5,"Assam State Transport Corporation ASTC Airport Bus Service ,Guwahati,Assam",,,,"G.S Road,Paltanbazar
opp. Amrit Regency,
Guwahati,Assam","Assam State Transport Corporation ASTC Airport Bus Service ,Guwahati,Assam"
6,"Nehru Park ,Children & Family Amusement Recreation Place,Guwahati Assam",,,,"Opp. Cotton College Panbazar,
Guwahati-781001
Assam","Nehru Park ,Children & Family Amusement Recreation Place,Guwahati Assam"
7,"Operation Smile India | Free surgery to repair cleft lips, cleft palates and other facial deformities | Contact Information",9706091003,,http://www.operationsmile.org.in/,"Mahendra Mohan Choudhury Hospital
Panbazar, Guwahati, Assam","Operation Smile India | Free surgery to repair cleft lips, cleft palates and other facial deformities | Contact Information"
8,"GMC Water Supply Treatment Plant,Panbazar Guwahati Assam, Phone number Contact Information",361-2540370,,,"GMC Water Supply Treatment Plant,
Pani Tanki Bust Stop,
Panbazar,Guwahati-1,Assam","GMC Water Supply Treatment Plant,Panbazar Guwahati Assam, Phone number Contact Information"
9,"Tinsukia Fire Station, Tinsukia ,Emergency Phone Number Assam",0374-2332101,,,"Tinsukia Fire Station, Tinsukia","Tinsukia Fire Station, Tinsukia ,Emergency Phone Number Assam"
