Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,"NRC Assam ,Seva Kendra NSK Office Location ৰাষ্টীয় নাগৰিক পঞ্জি অসম ২০১৫",15107,,http://nrcassam.nic.in/knownsk.html,"Shri Prateek Hajela, IAS
Commissioner & Secretary to the Govt. of Assam,
Home & Political Department &
State Coordinator, NRC
Govt. of Assam
Shri Deepak Sarma, IAS
Additional State Coordinator,NRC,
Govt. of Assam.
Shri H D Sarma, ACS
Joint Secretary to the Govt. of Assam,
Political(B) Deptt. &
Executive Director, NRC
Govt. of Assam","NRC Assam, Seva Kendra NSK Office Location  ৰাষ্টীয় নাগৰিক পঞ্জি অসম ২০১৫Know your NSK,সেৱা কেন্দ্রIt is a 3 step process [তলত দিয়া ওৱেব লিংকত ক্লিক কৰক ]If you enter your data properly then a list will be appeared with the following dataসবিশেষৰ বাবে ১৫১০৭ ত ফোন কৰক"
1,"Assam Police Headquarters, Ulubari, Contact No",03612450555,dgp@assampolice.gov.in,https://police.assam.gov.in/,"Director General of Police, Assam Assam Police Headquarters, Ulubari, Guwahati","Director General of Police, Assam Assam Police Headquarters, Ulubari, Guwahati Contact no"
2,GMDA (Guwahati Metropolitan Development Authority),2529650,ceo.gmda-as@nic.in,http://www.gmda.assam.gov.in,,"GMDA (Guwahati Metropolitan Development Authority)Statfed Building, Bhangagarh, Guwahati-781005"
3,"State Police Accountability Commission, Assam",03612462407,,,"Amitabh, House No 95, Dr. B. K. Kakati Road, Ulubari, Guwahati-781007, Near DGP Office","State Police Accountability Commission, Assam. Post complaints against serious misconduct of Police personnel. Send your complaints by post, e-mail or in person"
4,"Krishi Vigyan Kendra Kamrup, KVK Kamrup Official Address",,,,"The programme Coordinator,
KVK Kamrup, AAU, Kamrup,
Guwahati, Assam -781 017","Krishi Vigyan Kendra Kamrup, KVK Kamrup Official Address, Assam KVK, List of KVK Assam, AAU KVK"
5,"Krishi Vigyan Kendra Jorhat, KVK Jorhat Official Address",,,,"The programme Coordinator KVK, Jorhat, AAU, Teok District-Jorhat, Assam-785 112","Krishi Vigyan Kendra Jorhat, KVK Jorhat Official Address, Assam KVK, List of KVK Assam, AAU KVK"
6,"Krishi Vigyan Kendra Hailakandi, KVK Hailakandi Official Address",,,,"The programme Coordinator
KVK, Hailakandi, ICAR Research Complex for NEH Region, P.O.- Lakshmisahar,
District.- Hailakandi, Assam - 788 152","Krishi Vigyan Kendra Hailakandi, KVK Hailakandi Official Address, List of KVK Assam, Assam KVK Address"
7,"Krishi Vigyan Kendra Golaghat, KVK Golaghat Official Address",,,,"The programme Coordinator
KVK Golaghat, AAU, Khumtai,
District Golaghat, Assam-785 619","Krishi Vigyan Kendra Golaghat, KVK Golaghat Official Address, Assam KVK, List of KVK Assam, AAU KVK List, ICAR KVK Assam"
8,"Krishi Vigyan Kendra Goalpara, KVK Goalpara Official Address",,,,"The programme Coordinator,
KVK Goalpara, Thekasu Part I, Damra Road, Dudhnoi,
District-Goalpara, Assam 783 124","Krishi Vigyan Kendra Goalpara, KVK Goalpara Official Address, List of KVK Assam, Assam KVK, ICAR Zone III, AAU"
9,"Krishi Vigyan Kendra Dibrugarh, KVK Dibrugarh Official Address",,,,"The programme Coordinator,
KVK Dibrugarh, AAU, Romai. P.O Dibrugarh,
District- Dibrugarh, Assam- 786 010","Krishi Vigyan Kendra Dibrugarh, KVK Dibrugarh Official Address. List of KVK Assam, Assam KVK Address, Assam Agri University, AAU KVK"
